NU_ANO,CO_UF_ESCOLA,SG_UF_ESCOLA,CO_MUNICIPIO_ESCOLA,NO_MUNICIPIO_ESCOLA,CO_ESCOLA_EDUCACENSO,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,NU_MEDIA_OBJ,NU_MEDIA_TOT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
2005,24,RN,2408003,Mossoró,24002283,ESC EST MONSENHOR RAIMUNDO GURGEL,2,1,71,,55,,,,,,,,43.68,,,,74.4,18.8,6.8,De 61 a 90 alunos
2006,24,RN,2408003,Mossoró,24002283,ESC EST MONSENHOR RAIMUNDO GURGEL,2,1,95,,56,,,,,,,,43.69,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24002283,ESC EST MONSENHOR RAIMUNDO GURGEL,2,1,151,,63,,,,,,,,49.53,,,,84.3,11.9,3.8,Maior que 90 alunos
2008,24,RN,2408003,Mossoró,24002283,ESC EST MONSENHOR RAIMUNDO GURGEL,2,1,66,,45,,,,,,59.35,32.27,,,,,86.2,9.4,4.4,De 61 a 90 alunos
2005,24,RN,2408003,Mossoró,24002291,EE MOREIRA DIAS ENS 1 GRAU,2,1,163,,56,,,,,,,,41.44,,,,70.9,3.5,25.6,Maior que 90 alunos
2006,24,RN,2408003,Mossoró,24002291,EE MOREIRA DIAS ENS 1 GRAU,2,1,169,,67,,,,,,,,40.06,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24002291,EE MOREIRA DIAS ENS 1 GRAU,2,1,199,,75,,,,,,,,46.76,,,,67.9,7.3,24.8,Maior que 90 alunos
2008,24,RN,2408003,Mossoró,24002291,EE MOREIRA DIAS ENS 1 GRAU,2,1,191,,72,,,,,,56.2,34.37,,,,,70.8,5.5,23.7,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24002330,EE PROF ABEL F COELHO ENS DE 2 GRAU,2,1,482,,281,,,,,,,,42.63,,,,76.0,7.5,16.5,Maior que 90 alunos
2006,24,RN,2408003,Mossoró,24002330,EE PROF ABEL F COELHO ENS DE 2 GRAU,2,1,493,,333,,,,,,,,40.79,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24002330,EE PROF ABEL F COELHO ENS DE 2 GRAU,2,1,417,,231,,,,,,,,50.46,,,,75.8,11.7,12.5,Maior que 90 alunos
2008,24,RN,2408003,Mossoró,24002330,EE PROF ABEL F COELHO ENS DE 2 GRAU,2,1,445,,196,,,,,,57.51,35.86,,,,,74.6,13.4,12.0,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24002364,EE PROF HERMOGENES N COSTA ENS 1 GR,2,1,194,,72,,,,,,,,38.51,,,,69.2,5.1,25.7,Maior que 90 alunos
2006,24,RN,2408003,Mossoró,24002364,EE PROF HERMOGENES N COSTA ENS 1 GR,2,1,172,,82,,,,,,,,38.33,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24002364,EE PROF HERMOGENES N COSTA ENS. FUNDAMENTAL II E MÉDIO,2,1,166,,45,,,,,,,,48.46,,,,61.3,9.8,28.9,Maior que 90 alunos
2008,24,RN,2408003,Mossoró,24002364,ESCOLA ESTADUAL PROF HERMOGENES NOGUEIRA DA COSTA ENS. FUNDAMENTAL II E MÉDIO,2,1,107,,46,,,,,,57.06,33.13,,,,,64.1,7.9,28.0,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24002402,EE PROF JOSE F NOBRE ENS 1 2 GRAUS,2,1,70,,23,,,,,,,,37.98,,,,74.4,9.8,15.8,De 61 a 90 alunos
2006,24,RN,2408003,Mossoró,24002402,EE PROF JOSE F NOBRE ENS 1 2 GRAUS,2,1,82,,32,,,,,,,,35.1,,,,,,,De 61 a 90 alunos
2007,24,RN,2408003,Mossoró,24002402,EE PROF JOSE F NOBRE ENS 1 2 GRAUS,2,1,70,,27,,,,,,,,48.24,,,,70.6,10.5,18.9,De 61 a 90 alunos
2008,24,RN,2408003,Mossoró,24002402,EE PROF JOSE F NOBRE ENS 1 2 GRAUS,2,1,96,,48,,,,,,54.5,31.94,,,,,73.1,7.4,19.5,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24002410,EE PROF JOSE NOGUEIRA ENS DE I GRA,2,1,138,,49,,,,,,,,38.1,,,,70.2,1.9,27.9,Maior que 90 alunos
2006,24,RN,2408003,Mossoró,24002410,EE PROF JOSE NOGUEIRA ENS DE I GRA,2,1,138,,47,,,,,,,,36.46,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24002410,EE PROF JOSE NOGUEIRA ENS DE I GRA,2,1,156,,43,,,,,,,,44.53,,,,57.1,3.3,39.6,Maior que 90 alunos
2008,24,RN,2408003,Mossoró,24002410,ESCOLA ESTADUAL PROF JOSE NOGUEIRA,2,1,158,,45,,,,,,51.04,29.24,,,,,69.8,1.2,29.0,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24002429,EE MANOEL JOAO ENS DE 1 GRAU,2,1,91,,14,,,,,,,,44.29,,,,84.5,3.8,11.7,Maior que 90 alunos
2006,24,RN,2408003,Mossoró,24002429,EE MANOEL JOAO ENS DE 1 GRAU,2,1,121,,44,,,,,,,,35.65,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24002429,EE MANOEL JOAO ENS DE 1 GRAU,2,1,85,,23,,,,,,,,40.62,,,,56.5,7.6,35.9,De 61 a 90 alunos
2008,24,RN,2408003,Mossoró,24002429,EE MANOEL JOAO ENS DE 1 GRAU,2,1,97,,15,,,,,,51.67,30.37,,,,,50.0,11.8,38.2,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24002445,EE PROF MARIA STELLA PINHEIRO COSTA,2,1,143,,56,,,,,,,,41.17,,,,74.1,4.0,21.9,Maior que 90 alunos
2006,24,RN,2408003,Mossoró,24002445,EE PROF MARIA STELLA PINHEIRO COSTA,2,1,171,,73,,,,,,,,41.28,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24002445,EE PROF MARIA STELLA PINHEIRO COSTA,2,1,186,,61,,,,,,,,47.07,,,,67.8,9.1,23.1,Maior que 90 alunos
2008,24,RN,2408003,Mossoró,24002445,ESCOLA ESTADUAL PROFESSORA MARIA STELLA PINHEIRO COSTA,2,1,194,,70,,,,,,56.17,37.42,,,,,57.2,18.3,24.5,Maior que 90 alunos
2005,24,RN,2408003,Mossoró,24002526,COLEGIO MATER CHRISTI,4,1,80,,43,,,,,,,,60.92,,,,99.3,0.7,0.0,De 61 a 90 alunos
2006,24,RN,2408003,Mossoró,24002526,COLEGIO MATER CHRISTI,4,1,109,,68,,,,,,,,56.27,,,,,,,Maior que 90 alunos
2007,24,RN,2408003,Mossoró,24002526,COLEGIO MATER CHRISTI,4,1,69,,46,,,,,,,,65.41,,,,95.0,5.0,0.0,De 61 a 90 alunos
2008,24,RN,2408003,Mossoró,24002526,COLEGIO MATER CHRISTI,4,1,62,,33,,,,,,67.12,54.11,,,,,99.5,0.5,0.0,De 61 a 90 alunos
